intencao,sentenca
saudacao,Olá
saudacao,Ola
saudacao,bom dia
saudacao,como vai
saudacao,boa tarde
saudacao,boa noite
saudacao,oi amigo
saudacao,opa tudo bem
saudacao,ola tudo bom
saudacao,eai beleza
saudacao,oi
saudacao,oiii
saudacao,oie
saudacao,opa
saudacao,fala
saudacao,fala chefe
info,estão abertos
info,estao abertos
info,ta aberto
info,tá aberto
info,tá atendendo
info,ta atendento
info,que horas abre 
info,que horas fecha
info,voce entrega
info,voces entregam
info,quanto custa o frete
info,qual o valor da entrega
cardapio,cardapio
cardapio,posso ver o cardapio
cardapio,menu de opcoes
cardapio,quero ver o menu
cardapio,quero ver o cardapio
cardapio,o que tem pra comer
cardapio,o que tem pa come
cardapio,o que tem pra vender
cardapio,trabalha com que
cardapio,o que tem de larica
cardapio,quero laricar
cardapio,to na lara
cardapio,quero bater um rango
cardapio,to com fome
cardapio,estou faminto
cardapio,queria comer
cardapio,quais as opcoes
cardapio,qual as opcoess
cardapio,tem cardápio
cardapio,deixa eu ver o cardapio
cardapio,o que voce tem
cardapio,o que voce tem pra comer
cardapio,o que ta vendendo
cardapio,gostaria de ver o cardapio
cardapio,tem cardápio aí
cardapio,tem um cardapio por favor
conta,quanto fica
conta,qual o valor
conta,quanto dá
conta,fica quanto no total
conta,gostaria de saber o valor
conta,pode me informar quanto deu
conta,quanto vai ficar
conta,quanto fica tudo
conta,fecha pra mim
conta,quanto vai dar
conta,quanto ficou a conta
conta,tras a conta por favor
conta,fecha a conta pra mim
conta,quero pagar
conta,gostaria de pagar
conta,queria fazer o pagamento
conta,me passa o total a pagar
pedido,quero pedir um sobá
pedido,manda um sobá
pedido,quero um sobá médio bovino e uma coca
pedido,um sobá m de frango um g bovino e um p de frango com duas cocas e uma fanta
pedido,vê uma água com gás
pedido,agua sem gas
pedido,agua
pedido,gengibre
pedido,shoyu
pedido,bovino
pedido,cebolinha
pedido,frango
pedido,omelete
pedido,quero um sobá grande com adicional de cebolinha
pedido,um sobá grande de frango
pedido,sobá pequeno bovino com adicional de gengibre e omelete
pedido,quero um soba p bovino com omelete
pedido,entrega um soba com adicional de gengibre
pedido,quero um sobá
pedido,quero soba
pedido,ve um soba
pedido,um soba com mais shoyu e frango
pedido,uma coca
pedido,uma fanta
pedido,um refri
pedido,um refrigerante
pedido,refri lata
pedido,lata
pedido,fanta
pedido,coca
pedido,coca cola
pedido,coca-cola
pedido,fanta laranja
pedido,coca lata
pedido,fanta lata
pedido,soba
pedido,sobá pequeno
pedido,sobá grande
pedido,sobá médio
pedido,sobá m
pedido,sobá g
pedido,sobá p
pedido,refri 350ml
pedido,me ve um sobá
pedido,gostaria de fazer um pedido
pedido,bebida
